gate,variant,gate1_role,gate1_supervision,label_rule,feature_set,feature_cols,hgbm_params,model_stem,agents,n_train_queries_total,n_train_solvable,n_train_excluded_unsolvable,n_train_expanded_rows,pairs_with,models_dir,model_path,n_val_solvable,val_dominant_accuracy,val_mean_agent_regret,val_success_rate,val_frac_r_pred_eq_r_best,decomposed_val_regret,decomposed_val_success,decomposed_theta_s,decomposed_lambda,trial_id
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty']","{'max_depth': 6, 'learning_rate': 0.05, 'min_samples_leaf': 10, 'max_leaf_nodes': 31}",gate1b_sweep_feat_cvec5,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_feat_cvec5.joblib,136,0.7352941176470589,0.14705882352941177,0.8529411764705882,0.8529411764705882,0.08888888888888889,0.5155555555555555,0.05,0.0,feat_cvec5
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 10, 'learning_rate': 0.05, 'min_samples_leaf': 5, 'max_leaf_nodes': 127}",gate1b_sweep_hgbm_08,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_08.joblib,136,0.6764705882352942,0.16176470588235295,0.8382352941176471,0.8382352941176471,0.09777777777777778,0.5066666666666667,0.05,0.0,hgbm_08
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 8, 'learning_rate': 0.1, 'min_samples_leaf': 5, 'max_leaf_nodes': 127}",gate1b_sweep_hgbm_07,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_07.joblib,136,0.6764705882352942,0.16911764705882354,0.8308823529411765,0.8308823529411765,0.10222222222222223,0.5022222222222222,0.05,0.0,hgbm_07
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 4, 'learning_rate': 0.05, 'min_samples_leaf': 20, 'max_leaf_nodes': 15}",gate1b_sweep_hgbm_01,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_01.joblib,136,0.5661764705882353,0.18382352941176472,0.8161764705882353,0.8161764705882353,0.1111111111111111,0.49333333333333335,0.05,0.0,hgbm_01
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 6, 'learning_rate': 0.05, 'min_samples_leaf': 5, 'max_leaf_nodes': 63}",gate1b_sweep_hgbm_04,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_04.joblib,136,0.625,0.18382352941176472,0.8161764705882353,0.8161764705882353,0.1111111111111111,0.49333333333333335,0.05,0.0,hgbm_04
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 8, 'learning_rate': 0.05, 'min_samples_leaf': 10, 'max_leaf_nodes': 63}",gate1b_sweep_hgbm_06,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_06.joblib,136,0.5882352941176471,0.19117647058823528,0.8088235294117647,0.8088235294117647,0.11555555555555555,0.4888888888888889,0.05,0.0,hgbm_06
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 6, 'learning_rate': 0.1, 'min_samples_leaf': 15, 'max_leaf_nodes': 31}",gate1b_sweep_hgbm_05,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_05.joblib,136,0.6102941176470589,0.19852941176470587,0.8014705882352942,0.8014705882352942,0.12,0.48444444444444446,0.05,0.0,hgbm_05
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 4, 'learning_rate': 0.1, 'min_samples_leaf': 10, 'max_leaf_nodes': 31}",gate1b_sweep_hgbm_02,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_02.joblib,136,0.6029411764705882,0.20588235294117646,0.7941176470588235,0.7941176470588235,0.12444444444444444,0.48,0.05,0.0,hgbm_02
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,cvec5_emb,"['dim_structural', 'dim_reasoning', 'dim_evidence', 'dim_tool', 'dim_coordination_uncertainty', 'emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 6, 'learning_rate': 0.03, 'min_samples_leaf': 10, 'max_leaf_nodes': 31}",gate1b_sweep_hgbm_03,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_hgbm_03.joblib,136,0.5882352941176471,0.20588235294117646,0.7941176470588235,0.7941176470588235,0.12444444444444444,0.48,0.05,0.0,hgbm_03
1b,gate1b,per_agent_success_rank,success_only_soft_kl,uniform p_a over {a : r_a=1}; zeros elsewhere; no cost,emb_only,"['emb_0', 'emb_1', 'emb_2', 'emb_3', 'emb_4', 'emb_5', 'emb_6', 'emb_7', 'emb_8', 'emb_9', 'emb_10', 'emb_11', 'emb_12', 'emb_13', 'emb_14', 'emb_15']","{'max_depth': 6, 'learning_rate': 0.05, 'min_samples_leaf': 10, 'max_leaf_nodes': 31}",gate1b_sweep_feat_emb_only,"['react', 'cot', 'raw', 'multiagent']",1050,736,314,2944,gate1a P(solvable) at inference,/Users/poorna/Desktop/research_work/models/daar,/Users/poorna/Desktop/research_work/models/daar/gate1b_sweep_feat_emb_only.joblib,136,0.6029411764705882,0.20588235294117646,0.7941176470588235,0.7941176470588235,0.12444444444444444,0.48,0.05,0.0,feat_emb_only
