theta_s,precision,recall,f1
0.05,0.6044444444444445,1.0,0.7534626038781164
0.1,0.6044444444444445,1.0,0.7534626038781164
0.15,0.6044444444444445,1.0,0.7534626038781164
0.2,0.6044444444444445,1.0,0.7534626038781164
0.25,0.6044444444444445,1.0,0.7534626038781164
0.3,0.6,0.75,0.6666666666666666
0.35,0.6235294117647059,0.3897058823529412,0.4796380090497738
0.4,0.7619047619047619,0.11764705882352941,0.20382165605095542
0.45,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
